InternshipID,CompanyName,CompanyTier,RoleTitle,Sector,Location,RequiredSkills,RoleDescription,Capacity
500,Ahuja-Kapur,3,Finance Intern,Finance,Hyderabad,"Risk Analysis,Tally,Excel",Quaerat libero a numquam alias dolore voluptatibus. Ipsam dicta molestias. Voluptatem consequatur doloremque itaque labore reprehenderit dolorem dolore. Adipisci cumque placeat quas ea iste eligendi. Incidunt corrupti maxime dolores praesentium. Harum dolorem exercitationem quod.,9
501,Chandra Inc,1,Finance Intern,Finance,Pune,"Financial Modeling,QuickBooks,Tally,Risk Analysis,Statistics,Excel",Ipsum laboriosam delectus culpa incidunt consequuntur sed. Quasi architecto explicabo unde doloribus magni. Ducimus assumenda tenetur laborum doloribus quo cupiditate rem.,5
502,"Palla, Dhingra and Sankar",3,IT Intern,IT,Chennai,"SQL,Cloud Computing",Dicta maxime porro dolorem. Odit libero debitis eligendi quisquam. Tempora maiores nihil nihil ea ipsum perferendis. Assumenda aliquam expedita earum. Iure praesentium expedita error impedit iure laboriosam.,5
503,Nadkarni and Sons,1,Marketing Intern,Marketing,Delhi,"SEO,Email Marketing,Google Analytics",Unde nostrum commodi reiciendis. Quos veritatis fugit quos a tempora totam. Debitis voluptatem dolorem quasi. Dolor debitis autem distinctio dolore tenetur quibusdam. Culpa impedit vel minus.,5
504,"Sarraf, Narula and Ravel",1,Marketing Intern,Marketing,Delhi,"SEO,Google Analytics,Social Media Marketing",Beatae esse in modi ullam id. Quis delectus eos vitae. Tenetur aliquid at. Neque saepe recusandae in labore aspernatur tempore. Et placeat deleniti beatae veritatis accusamus.,1
505,"Gala, Chandra and Sule",1,Marketing Intern,Marketing,Pune,"Google Analytics,Email Marketing,SEO,Social Media Marketing,Content Creation",Eius dolores molestiae aspernatur. Vero nisi asperiores. Veritatis incidunt non a cupiditate quaerat eligendi officia.,9
506,"Gokhale, Kunda and Ganesan",1,Manufacturing Intern,Manufacturing,Delhi,"AutoCAD,FEA,Thermodynamics,MATLAB",Voluptate ullam saepe aliquam libero eveniet autem. Quia mollitia sequi perferendis ipsa eius fugiat. Esse laboriosam amet cumque. Modi accusamus sapiente laborum doloremque libero rerum quod. Dolores officiis iusto laboriosam dignissimos.,7
507,Chakrabarti-Kata,1,Marketing Intern,Marketing,Pune,"Email Marketing,Google Analytics",Placeat neque temporibus corrupti. Voluptatem corrupti quo quos vero corrupti porro dolore. Iusto dolore voluptas sequi. Soluta eius nesciunt itaque dicta accusantium quo.,4
508,Parsa and Sons,3,Healthcare Intern,Healthcare,Bangalore,"Node.js,Java,React,SQL,C++,Cloud Computing,Docker,Python",Perspiciatis nesciunt minima quasi. Nisi tenetur itaque beatae unde voluptatem. Est officiis quasi assumenda magnam adipisci rerum.,4
509,Badami-Rao,3,Finance Intern,Finance,Hyderabad,"Excel,Risk Analysis,Tally",Fuga amet ad maiores. Expedita hic natus ratione. Ratione quisquam itaque eaque in fuga.,6
